transaction_id,user_id,transaction_amount,transaction_type,payment_mode,device_type,device_location,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label,amount_vs_avg,high_value_transaction,night_transaction,behavior_risk_score,new_account,international_high_risk,high_activity_risk
T119,U2322,44633.32,Payment,Card,Web,Mumbai,674,1,3,5531.83,1,0.516,8,0,8.066996455701693,1,1,11,0,0,1
T120,U9154,26990.14,Payment,NetBanking,iOS,Hyderabad,1992,15,4,28030.84,0,0.3,9,0,0.9628386862938715,0,0,13,0,0,0
T121,U7077,40381.64,Payment,Wallet,iOS,Bangalore,1536,3,3,11993.57,0,0.18,1,0,3.3666600803530264,1,1,4,0,0,0
T122,U5583,44809.76,Transfer,NetBanking,Web,Delhi,415,18,0,18705.51,0,0.773,1,0,2.395409940175907,1,0,1,0,0,0
T123,U2161,15934.27,Payment,UPI,Android,Delhi,995,4,0,24567.15,0,0.582,3,1,0.6485742719740802,0,1,3,0,0,0
T124,U7575,5547.09,Withdrawal,Wallet,iOS,Hyderabad,646,6,0,5490.87,1,0.438,8,0,1.0100548629155461,0,0,8,0,0,1
T125,U4491,11435.36,Payment,UPI,Android,Chennai,1124,8,3,16279.98,0,0.181,1,0,0.7023754098340518,0,0,4,0,0,0
T126,U5632,21384.03,Payment,NetBanking,Web,Hyderabad,1327,4,4,7198.85,0,0.594,2,0,2.970066043042563,1,1,6,0,0,0
T127,U6524,40909.84,Transfer,Wallet,iOS,Hyderabad,1426,7,4,15339.16,0,0.629,1,0,2.6668457173849553,1,0,5,0,0,0
T128,U3140,43043.49,Payment,Card,iOS,Mumbai,1070,1,1,17425.14,0,0.48,1,0,2.470053035267707,1,1,2,0,0,0
T129,U5039,397.26,Withdrawal,Wallet,Web,Chennai,526,21,2,5157.32,0,0.373,9,0,0.07701344623831015,0,0,11,0,0,0
T130,U1958,25561.83,Payment,UPI,iOS,Hyderabad,859,23,0,17466.48,0,0.867,1,0,1.4633954067787684,0,0,1,0,0,0
T131,U5840,20899.68,Withdrawal,Wallet,Android,Bangalore,1695,19,0,13701.75,0,0.705,4,0,1.5252179307073397,0,0,4,0,0,0
T132,U3019,11144.29,Transfer,Card,Android,Delhi,1911,19,0,15707.79,0,0.356,7,0,0.7094301979974269,0,0,7,0,0,0
T133,U2050,6037.28,Payment,Card,Web,Bangalore,917,6,1,27158.51,0,0.593,5,0,0.2222897246673449,0,0,6,0,0,0
T134,U7905,16913.88,Transfer,Card,iOS,Bangalore,325,3,1,14565.71,0,0.234,5,0,1.1611324726036285,0,1,6,0,0,0
T135,U1699,47148.34,Payment,Card,iOS,Bangalore,1205,20,1,14336.84,0,0.011,7,0,3.288385140300073,1,0,8,0,0,1
T136,U2974,16193.99,Withdrawal,UPI,Web,Chennai,1439,14,0,14164.92,0,0.869,6,0,1.1431654280131471,0,0,6,0,0,1
T137,U2686,25963.59,Transfer,Wallet,Android,Chennai,1295,17,4,18730.85,0,0.819,6,1,1.386066512383988,0,0,10,0,0,1
T138,U2979,35165.8,Payment,NetBanking,Android,Chennai,1517,1,0,11088.77,1,0.639,8,0,3.171012563831351,1,1,8,0,0,1
T139,U6022,18213.3,Withdrawal,Card,Web,Delhi,36,13,1,24060.67,0,0.811,9,0,0.7569424732364795,0,0,10,0,0,0
T140,U5263,48590.52,Transfer,NetBanking,iOS,Mumbai,1528,9,1,8652.9,0,0.781,2,0,5.6148695963669555,1,0,3,0,0,0
T141,U1515,48124.24,Payment,NetBanking,Android,Hyderabad,64,4,2,9056.43,1,0.86,4,0,5.313233444807191,1,1,6,0,1,0
T142,U5875,12626.53,Transfer,Wallet,iOS,Hyderabad,1944,11,3,17703.63,0,0.892,9,0,0.7131767226990906,0,0,12,0,0,0
T143,U2726,24887.56,Payment,NetBanking,Android,Mumbai,1865,9,2,7870.69,0,0.819,1,0,3.161653977735404,1,0,3,0,0,0
T144,U4077,15078.87,Withdrawal,NetBanking,iOS,Hyderabad,258,17,2,2789.39,0,0.852,8,0,5.403857525292164,1,0,10,0,0,1
T145,U1247,14277.78,Withdrawal,UPI,Android,Bangalore,282,5,0,6247.01,0,0.502,1,0,2.2851723988918073,1,1,1,0,0,0
T146,U3238,1892.5,Transfer,NetBanking,iOS,Delhi,1292,21,3,27418.36,0,0.708,4,0,0.06902057524318583,0,0,7,0,0,0
T147,U6324,30497.74,Transfer,Wallet,Web,Hyderabad,1811,11,3,419.95,0,0.333,9,1,72.44979213683335,1,0,12,0,0,1
T148,U4212,25158.82,Payment,NetBanking,Android,Delhi,200,23,0,4090.5,1,0.861,4,1,6.149045582304778,1,0,4,0,1,0
T149,U8724,2621.36,Withdrawal,Wallet,Web,Mumbai,584,0,4,22765.39,0,0.859,5,0,0.11514166277569698,0,1,9,0,0,0
T150,U7392,13968.39,Payment,Card,Android,Hyderabad,866,6,0,29397.84,1,0.066,9,0,0.47513405290821,0,0,9,0,0,0
T151,U9335,45417.88,Withdrawal,NetBanking,Android,Delhi,1479,11,4,20676.74,0,0.347,8,0,2.196462476073304,1,0,12,0,0,1
T152,U9792,12016.12,Transfer,NetBanking,Android,Bangalore,1886,6,4,27677.8,0,0.171,1,0,0.43412720204633154,0,0,5,0,0,0
T153,U9965,7287.5,Payment,NetBanking,iOS,Bangalore,1535,8,3,25671.55,0,0.136,3,0,0.2838635040149888,0,0,6,0,0,0
T154,U1732,24498.17,Payment,Card,Android,Mumbai,625,19,0,14451.11,1,0.415,4,0,1.695127562688078,0,0,4,0,0,0
T155,U7026,49283.24,Withdrawal,UPI,Web,Chennai,1426,14,0,10072.35,0,0.626,3,0,4.892437967508326,1,0,3,0,0,0
T156,U7031,12140.66,Withdrawal,NetBanking,iOS,Hyderabad,1441,22,3,19003.91,0,0.344,9,0,0.6388170214960239,0,0,12,0,0,0
T157,U8987,33623.17,Withdrawal,Wallet,iOS,Bangalore,1833,11,2,16053.25,0,0.309,6,0,2.0943469797717116,1,0,8,0,0,1
T158,U3605,38092.9,Transfer,UPI,Android,Bangalore,1804,12,0,872.3,0,0.094,3,0,43.61948929348449,1,0,3,0,0,0
T159,U5651,11920.0,Payment,UPI,iOS,Mumbai,1027,21,1,28723.19,0,0.383,8,0,0.41498124055021224,0,0,9,0,0,0
T160,U5141,36424.41,Withdrawal,UPI,Android,Bangalore,682,3,1,17150.4,0,0.471,9,0,2.1236989400282194,1,1,10,0,0,1
T161,U4152,18420.77,Transfer,NetBanking,Web,Hyderabad,692,9,0,26247.3,0,0.399,4,0,0.7017890682444197,0,0,4,0,0,0
T162,U1106,31633.68,Withdrawal,Card,iOS,Mumbai,118,23,4,22065.44,0,0.68,5,0,1.4335651786151278,0,0,9,0,0,0
T163,U8583,31694.81,Payment,Card,iOS,Delhi,661,2,3,10290.91,1,0.288,3,0,3.0795848389657507,1,1,6,0,0,0
T164,U1077,26811.95,Withdrawal,NetBanking,Web,Mumbai,1638,23,4,27044.62,0,0.716,5,0,0.9913601536958665,0,0,9,0,0,0
T165,U1822,4559.97,Payment,Wallet,Web,Hyderabad,990,4,1,23733.63,0,0.883,2,0,0.19212307080413724,0,1,3,0,0,0
T166,U6928,41773.36,Transfer,Wallet,Android,Hyderabad,1136,3,1,12950.77,0,0.591,2,1,3.225301252261274,1,1,3,0,0,0
T167,U1821,16072.96,Transfer,Wallet,iOS,Delhi,235,18,3,25230.3,0,0.389,5,0,0.6370246479571009,0,0,8,0,0,0
T168,U7504,9366.6,Withdrawal,NetBanking,Web,Mumbai,362,14,1,8219.41,0,0.18,7,1,1.1394322181010437,0,0,8,0,0,1
T169,U5838,2086.72,Payment,Card,iOS,Hyderabad,1193,22,2,20153.44,0,0.932,1,0,0.10353649121483902,0,0,3,0,0,0
T170,U6924,29565.1,Payment,NetBanking,Web,Hyderabad,1437,6,1,3525.99,0,0.752,3,0,8.382530146101917,1,0,4,0,0,0
T171,U7781,33894.34,Payment,Card,iOS,Delhi,1740,21,4,25986.46,0,0.246,1,0,1.3042575149706819,0,0,5,0,0,0
T172,U3476,878.56,Withdrawal,UPI,Web,Chennai,1357,2,4,21910.04,0,0.151,8,0,0.04009668185535693,0,1,12,0,0,0
T173,U5190,25629.05,Payment,NetBanking,iOS,Mumbai,154,15,2,4661.78,0,0.049,2,0,5.496517099241226,1,0,4,0,0,0
T174,U6775,11363.46,Payment,Card,Android,Hyderabad,1787,14,4,737.9,0,0.191,6,0,15.37888753552578,1,0,10,0,0,1
T175,U8577,32276.38,Payment,UPI,iOS,Bangalore,1498,17,4,11757.05,0,0.732,6,0,2.745045309383784,1,0,10,0,0,1
T176,U5318,8759.6,Payment,UPI,Android,Delhi,924,2,4,20290.65,0,0.63,9,0,0.4316849541560198,0,1,13,0,0,0
T177,U3312,34562.34,Withdrawal,NetBanking,Android,Chennai,1165,13,0,8566.11,0,0.967,6,0,4.034305617647024,1,0,6,0,0,1
T178,U3335,19367.43,Withdrawal,Card,Android,Chennai,1126,0,2,29200.33,0,0.322,6,0,0.6632379415595111,0,1,8,0,0,0
T179,U1954,46839.66,Payment,UPI,iOS,Delhi,282,6,2,28046.97,0,0.787,1,0,1.6699839596234594,0,0,3,0,0,0
T180,U6362,6919.17,Payment,NetBanking,iOS,Chennai,1737,1,1,17978.42,0,0.12,7,0,0.3848383318260545,0,1,8,0,0,0
T181,U4441,17086.26,Transfer,UPI,Android,Hyderabad,543,9,2,9536.41,0,0.563,6,0,1.7914989499245602,0,0,8,0,0,1
T182,U5334,5718.0,Transfer,Wallet,Web,Chennai,1227,23,3,26898.45,0,0.467,8,0,0.21256940197662033,0,0,11,0,0,0
T183,U4448,46238.45,Payment,NetBanking,iOS,Mumbai,1203,15,2,24123.78,0,0.838,1,0,1.9166371672612144,0,0,3,0,0,0
T184,U1666,43873.1,Payment,UPI,iOS,Bangalore,469,11,3,2676.02,0,0.702,8,0,16.388783049809117,1,0,11,0,0,1
T185,U9132,12934.18,Transfer,NetBanking,iOS,Hyderabad,950,17,4,14342.05,0,0.194,8,0,0.9017733327290919,0,0,12,0,0,0
T186,U4137,33016.2,Transfer,NetBanking,iOS,Delhi,1044,5,3,29438.33,0,0.984,1,0,1.121499708043627,0,1,4,0,0,0
T187,U4280,40870.25,Payment,Card,Android,Bangalore,190,16,0,13671.77,0,0.823,7,0,2.9891711774570915,1,0,7,0,0,1
